,threshold,abs_diff_rand,ci_moe_rand,abs_diff_empi,ci_moe_empi,affiliation
0,5,0.314016348239268,0.003423703824837407,0.28529244909334817,0.0032033191435527773,libs
1,10,0.3026910156306215,0.00403932322634616,0.2756458645597509,0.003748615897879518,libs
2,15,0.2972338195882076,0.004528856131389172,0.2724614152461889,0.004200231968612539,libs
3,20,0.2932198073305132,0.004921017195430858,0.26972700738124167,0.004577231792426861,libs
4,25,0.28794279921745514,0.005269688981858606,0.26678569671189917,0.004933448520052058,libs
5,30,0.2844944532513592,0.0056061262257332154,0.26418934687140494,0.005256999809287914,libs
6,35,0.28177895348799464,0.005932778808393817,0.2620451380129367,0.0055750481235525284,libs
7,40,0.2803176262155604,0.00625604863272721,0.2620682090904467,0.005890925908386325,libs
