,threshold,prob_higher_empi,prob_higher_random,prob_higher_homophily,prob_higher_acrophily,ci_moe_empi,ci_moe_random,ci_moe_homophily,ci_moe_acrophily,affiliation
0,5,0.41733585262163436,0.316853482786229,0.16288618159789997,0.30205655153436284,0.007426679193625496,0.007448390211223843,0.0059376816095660645,0.007368972035574977,cons
1,10,0.471313312415957,0.36142438504573304,0.2670011647701819,0.4644808681123201,0.00845622872931523,0.008873082148317002,0.00820738407357835,0.009247309261703546,cons
2,15,0.506398537477148,0.39835135424472756,0.3025210084033613,0.5266481437101755,0.009142800024085962,0.009927868720210342,0.009344813625438375,0.010168981670930312,cons
3,20,0.5357248447817089,0.4375621890547264,0.3152078362426221,0.5522162362107209,0.009703711511609758,0.010843693021471534,0.010204403593337186,0.010908500613958552,cons
4,25,0.5576107061255576,0.4694421082141856,0.3297025555090071,0.5724431577475536,0.010153939323493621,0.011580810340366676,0.010888202583492657,0.011513659500190152,cons
5,30,0.5719023927979152,0.4981424148606811,0.34120205000776516,0.589034980223735,0.01055498873456917,0.012192670549614648,0.011580326758900972,0.012022134639637192,cons
6,35,0.58883377845606,0.519023569023569,0.34830695933299305,0.6036757434312021,0.01087574522688095,0.0127060425715263,0.012180717283516607,0.012460579816057265,cons
7,40,0.6028416779431665,0.5513445226493413,0.3952562013398515,0.6191917809804286,0.011156021444373998,0.013095498502072256,0.012893939480105532,0.012820509895538307,cons
