,threshold,abs_diff_rand,ci_moe_rand,abs_diff_empi,ci_moe_empi,affiliation
0,5,0.5407714479635994,0.00466169051098857,0.5184856929291932,0.004742837500706731,cons
1,10,0.5226962979581341,0.005360428093929905,0.4958359510405601,0.005504057424605128,cons
2,15,0.5101380485735952,0.005851341240387742,0.482483800932297,0.005971375418063878,cons
3,20,0.4983878410752943,0.006239973209754367,0.4709520598496148,0.0063073001566499864,cons
4,25,0.4900075507410242,0.006583309079555297,0.46276030069859897,0.0065805669678471075,cons
5,30,0.48253268859709664,0.00689573175630477,0.4571495233221263,0.006848998382190251,cons
6,35,0.4743306198886966,0.007143993013541244,0.4504759311675155,0.007069920753399842,cons
7,40,0.46871978801015063,0.007375612490500686,0.4475078093137549,0.00728725535966347,cons
