userid,coef,affiliation
140073,1.6820648295680378,cons
690293,0.21655899729247097,cons
818186,0.5589114415470658,cons
1366631,1.1568108980946907,cons
1457101,1.6932517527827329,cons
1471991,0.6494831646210335,cons
1653051,1.86883249326057,cons
1759181,2.086865747926383,cons
1797991,0.8256170884446367,cons
1906951,0.47982883566840595,cons
2310441,1.3379318244560812,cons
2332681,1.2550955201276557,cons
2816371,1.916024499153055,cons
3114191,0.9180634983333765,cons
3637891,0.12210382527679088,cons
3669621,0.200533107178429,cons
4107581,0.0,cons
4239551,1.0723645560092339,cons
4396001,0.0,cons
4515891,1.4143263681113287,cons
4517951,0.28968131218051246,cons
4537361,2.342667165706273,cons
4637891,0.0,cons
5145071,0.5622500014947829,cons
5405752,0.0,cons
5445362,1.6906502217921504,cons
5469742,0.7026221039366517,cons
5474222,2.4700279836112267,cons
5510112,-1.249564317307072,cons
5511332,1.594194278820713,cons
5565722,1.2894999032088024,cons
5575662,0.41946629070794206,cons
5644772,0.9494939846338715,cons
5689782,0.044980715457686615,cons
5820642,0.9603761138312723,cons
5864112,0.0,cons
5929042,0.0,cons
5966412,2.4700279836112267,cons
6102652,1.5619294602247464,cons
6165492,0.0,cons
6285862,2.384854604866012,cons
6588682,0.0,cons
6689482,1.199216484796755,cons
6717362,0.0,cons
6742412,1.642787842354449,cons
6782762,1.0517934182230304,cons
6945382,-0.4060319973059551,cons
7058252,1.577519706334243,cons
7074132,1.2407923437318558,cons
7179562,1.0693481400560045,cons
7455282,2.4700279836112267,cons
7492812,2.4700279836112267,cons
7595102,1.1438806438097793,cons
7871422,0.0,cons
7905512,2.360528196547066,cons
7964842,1.8948159874277903,cons
7970962,2.1362404182583585,cons
8006742,-0.3955812213981755,cons
8029222,0.60752932451479,cons
8062702,0.9160368680942299,cons
8129032,0.2923634270415011,cons
8162322,0.7998185851693496,cons
8406182,0.0,cons
8440712,-0.3025701835732043,cons
8470932,1.943291661682423,cons
8493192,-0.5830789664752483,cons
8524102,0.0,cons
8754802,-0.28375086064083777,cons
8758642,2.069873399287638,cons
8793352,0.2994687865571607,cons
9009462,2.0429670705569496,cons
9237182,-0.045304988694263144,cons
9275372,2.4022160081303623,cons
9376622,1.882472307427132,cons
9451342,0.08135797047467808,cons
9508922,-0.029444928550228698,cons
9514072,2.4700279836112267,cons
9521212,-0.9275556480495195,cons
9546182,0.0,cons
9729112,0.397144324242081,cons
9774422,2.4700279836112267,cons
9834992,-0.13572242263460688,cons
9876672,1.021774165882342,cons
9894602,0.0,cons
9912902,0.5396061133427604,cons
9952662,0.0,cons
10008762,2.4700279836112267,cons
10245552,0.0,cons
10253012,0.26126074933244364,cons
10292132,0.2220759104531195,cons
10323562,1.028115767796102,cons
10394212,0.555359610876186,cons
10461292,1.514310442249286,cons
10747452,0.601285270966656,cons
10774652,0.0,cons
11029182,2.4700279836112267,cons
11104892,0.26634639100386126,cons
11134252,0.9983716540049191,cons
11194802,1.5855418694391494,cons
11203972,0.008322196710280354,cons
11335322,2.4700279836112267,cons
11382902,2.4700279836112267,cons
11580572,0.871157178355801,cons
11611052,0.0,cons
11646782,0.0,cons
11679902,2.4700279836112267,cons
11740792,0.0,cons
11886762,0.3206942409660985,cons
11891962,0.4372005643571131,cons
11924722,0.2096511556821237,cons
12058452,2.4700279836112267,cons
12136922,0.0,cons
12253342,0.5180283127723296,cons
12626212,0.32876244846669866,cons
12648862,0.17193670018508017,cons
12684662,0.0,cons
12788332,0.0,cons
12797822,0.08989025889724402,cons
12939812,0.8779720320892986,cons
13174062,0.7959772259325196,cons
13218102,2.232103868586571,cons
13367732,0.3374853596514601,cons
13396002,0.2942780168008962,cons
13494442,-1.1753352485819453,cons
13544232,1.0342803076437908,cons
13566802,0.0,cons
13654822,0.0,cons
13673392,1.199426287035635,cons
13693262,1.871504023748832,cons
13737002,0.0,cons
13862542,0.0,cons
14052476,2.4700279836112267,cons
14052821,2.4700279836112267,cons
14062361,-0.11941870829855954,cons
14067790,0.0,cons
14072092,-0.21450349521775358,cons
14072631,0.10465399067477932,cons
14084147,0.03739566715367787,cons
