,threshold,prob_higher_empi,prob_higher_random,prob_higher_homophily,prob_higher_acrophily,ci_moe_empi,ci_moe_random,ci_moe_homophily,ci_moe_acrophily,affiliation
0,5,0.43257784972859725,0.4186836289148833,0.3233143348747177,0.4562150837379281,0.006700435721772258,0.0070992700237082484,0.006722347175161347,0.007165668899063775,libs
1,10,0.4148679447647138,0.41387183120768384,0.32235126807300307,0.46492993628120544,0.007906325223250521,0.008565274148362667,0.008142348890106177,0.008685657707792022,libs
2,15,0.40709025518068165,0.4105480868665977,0.3240731178353816,0.47543853011938336,0.008910529306976278,0.00980485241873813,0.009322115689270771,0.009944505774945319,libs
3,20,0.40118779438869545,0.40316901408450706,0.31380437515715365,0.4762333842522286,0.009720954467105747,0.010781499321094068,0.010197853465128581,0.010982446271257787,libs
4,25,0.3968580060422961,0.39777510523150933,0.310448660042156,0.4723591972872924,0.010541233814633788,0.0117617006698999,0.011126968372471402,0.012010164458440864,libs
5,30,0.3977923711052117,0.3829525483304042,0.30694640338504936,0.4703310417232754,0.011339239645623111,0.012630592428270304,0.012003134296976248,0.012983929121026522,libs
6,35,0.3963395392868413,0.3897590361445783,0.3185947910357359,0.46383812337080554,0.01204209472511275,0.013545099343442446,0.01297585509680338,0.013856086299448168,libs
7,40,0.39293286219081275,0.38247282608695654,0.3122439690487028,0.4560550862052939,0.01272381697135605,0.01433381806170858,0.013701947458175712,0.014708358468174192,libs
